一级分类(清洗后中文器械名),二级分类(中观大类),三级分类(宏观大类),关联器械对数,死亡事件数,伤害事件数,故障事件数,事件总数
Heartware心室辅助系统-泵,心室辅助装置,心脏辅助设备,1,3244,17946,2425,23615
BLT骨内牙种植体（3.3mm NC，SLActive 10mm，TIZR，NTP）,骨内牙种植体,牙科植入物,1,0,23442,0,23442
植入式心脏复律除颤器,植入式心脏除颤器,心脏节律管理设备,26,485,13930,8990,23411
V60呼吸机,呼吸机,呼吸支持设备,1,63,199,22952,23214
MMT-712 Paradigm胰岛素泵,胰岛素输注泵,胰岛素给药装置,1,7,577,22493,23077
NobelActive内部连接RP 4.3x13mm牙种植体,骨内牙种植体,牙科植入物,1,0,22631,348,22979
NobelParallel锥形连接NP 3.75x11.5mm牙种植体,骨内牙种植体,牙科植入物,1,0,22656,238,22894
T:slim X2胰岛素泵（带Control-IQ+技术）,胰岛素输注泵,胰岛素给药装置,1,3,3437,19262,22702
HomeChoice Pro腹膜透析系统,腹膜透析系统,透析设备,1,819,640,21100,22573
670G胰岛素泵MMT-1780KL,自动胰岛素给药系统,胰岛素给药装置,1,78,3984,18482,22545
9800型X射线透视系统,X射线透视系统,医学影像设备,1,1,5,22364,22382
Camlog螺纹种植体Promote Plus,骨内牙种植体,牙科植入物,1,2,22181,2,22185
9900型X射线透视系统,X射线透视系统,医学影像设备,1,2,2,22024,22039
630G胰岛素泵MMT-1715KL,阈值暂停型人工胰腺系统,胰岛素给药装置,1,93,4527,17343,21963
便携式制氧机（家用充氧）,制氧机/氧疗设备,呼吸与氧疗设备,1,36,29,21812,21947
输液泵,输液泵/注射泵,输液与注射设备,1,3,10,21686,21716
起搏电极导线（MRI兼容）,心脏起搏电极导线,心脏节律管理设备,1,193,11804,9707,21705
骨内牙种植体（4.1mm RC，SLA 10mm，钛，LOXIM）,牙种植体,口腔种植修复系统,1,0,21600,0,21600
葡萄糖传感器发射器（非辅助使用）,连续血糖监测传感器,血糖监测系统,1,0,46,21533,21579
除颤电极导线（主动固定，DF-4连接器）,除颤电极导线,心脏节律管理设备,1,960,14415,6168,21547
注射泵（Alaris 8110）,输液泵/注射泵,输液与注射设备,1,0,1,21450,21451
脊髓刺激器（全植入式，用于疼痛缓解）,脊髓神经刺激器,神经调控设备,1,7,7753,13373,21133
脑深部电刺激器（用于帕金森震颤）,脑深部刺激器,神经调控设备,1,163,9095,11847,21106
胰岛素输注泵（配合有创血糖传感器使用）,胰岛素泵/输注系统,胰岛素给药装置,1,2,194,20859,21055
胰岛素泵（可互操作技术，支持替代控制器）,胰岛素泵/输注系统,胰岛素给药装置,1,1,2672,18303,20976
骨内牙种植体（4.1mm RC，SLA 8mm，TIZr，LOXIM）,牙种植体,口腔种植修复系统,1,0,20852,0,20852
美敦力Minimed 780G人工胰腺系统（单激素控制）,人工胰腺系统,胰岛素泵及闭环系统,2,1,364,19937,20302
骨内牙种植体（NobelParallel CC RP 4.3x8.5mm）,牙种植体,口腔种植修复系统,1,1,20138,115,20254
自动胰岛素输注系统（Omnipod 5，支持替代控制器）,胰岛素泵/输注系统,胰岛素给药装置,1,8,1139,19054,20201
骨内牙种植体（4.8mm RC，SLActive 10mm，TIZr，NTP）,牙种植体,口腔种植修复系统,1,0,20176,0,20176
人工胰腺系统（单激素控制）,人工胰腺/闭环胰岛素输注系统,胰岛素给药装置,1,27,2538,17564,20129
连续血糖监测系统（Freestyle Libre 3）,连续血糖监测系统,血糖监测系统,1,16,10191,9795,20002
骨内牙种植体（4.1mm RC，SLActive 8mm，TIZr，NTP）,牙种植体,口腔种植修复系统,1,0,19934,0,19934
腹膜透析管路（一次性使用）,腹膜透析管路/套件,透析与肾脏替代治疗设备,1,488,18227,1197,19912
临时左心辅助血泵（非滚压式）,心室辅助装置,心脏支持与循环辅助设备,1,2514,11773,5569,19857
胰岛素输注系统,胰岛素泵,胰岛素给药装置,3,27,3827,15439,19339
血糖监测系统,血糖监测系统,血糖管理设备,3,2,648,18619,19283
心律失常检测和报警器,植入式心脏监测器,心脏节律管理设备,1,6,1201,17814,19021
胰岛素泵,胰岛素泵,胰岛素给药装置,1,12,4831,14072,18915
植入式脉冲发生器（脊髓刺激）,脊髓刺激器,神经刺激设备,1,24,17653,1234,18911
骨内牙种植体,牙种植体,口腔植入器械,10,0,18658,88,18904
可互操作技术胰岛素泵,胰岛素泵,胰岛素给药装置,1,1,2447,16141,18589
自动胰岛素给药系统（单激素控制）,自动胰岛素输注系统,胰岛素给药装置,1,106,4722,13755,18584
输注泵储液器,胰岛素泵配件,胰岛素给药装置,1,84,6356,12138,18578
电动轮椅,轮椅,移动辅助设备,2,17,321,17870,18456
脊髓刺激器,脊髓刺激器,神经刺激设备,1,84,14308,3924,18321
胰岛素泵辅助显示应用,胰岛素泵配件,胰岛素给药装置,1,0,16,18253,18269
骨水平锥形种植体 4.1mm RC SLActive 12mm TIZR NTP,牙科种植体系统,口腔植入物,1,0,18262,0,18262
骨水平锥形种植体 3.3mm NC SLA 12mm TIZR LOXIM,牙科种植体系统,口腔植入物,1,0,18131,0,18131
诺保科Replace锥形种植体 PMC RP 4.3x8mm,牙科种植体系统,口腔植入物,1,0,18027,50,18077
骨水平锥形种植体 4.8mm RC SLA 10mm TIZR LOXIM,牙科种植体系统,口腔植入物,1,0,18031,0,18031
iLet仿生胰腺胰岛素泵,胰岛素泵/输注系统,胰岛素给药装置,1,16,5169,12672,17857
Tendril ST起搏电极导线,心脏起搏电极导线,心脏节律管理设备,1,1013,8691,7923,17634
Perfecto2 V便携式制氧机（含传感器）,便携式制氧机,呼吸支持设备,1,0,7,17607,17615
自动体外除颤器,除颤器,心脏急救设备,7,109,2,16123,17436
骨水平锥形种植体 4.8mm RC SLActive 8mm TIZR NTP,牙科种植体系统,口腔植入物,1,0,17393,0,17393
Enlite葡萄糖传感器,连续血糖监测传感器,血糖监测系统,1,0,2582,14682,17280
诺保科Active内连接种植体 RP 4.3x8.5mm,牙科种植体系统,口腔植入物,1,2,17025,151,17178
Endotak Reliance植入式除颤电极导线,植入式心脏除颤电极导线,心脏节律管理设备,1,214,10906,5930,17052
T:slim X2胰岛素泵（可互操作技术）,胰岛素输注泵,胰岛素给药装置,3,2,1728,15279,17009
胰岛素输注泵（可互操作技术）,胰岛素泵,胰岛素给药装置,1,2,1713,15204,16919
t:slim X2胰岛素泵（可互操作技术）,胰岛素泵/输注系统,胰岛素给药装置,1,2,1713,15204,16919
640G胰岛素泵（传感器增强型）,胰岛素泵/输注系统,胰岛素给药装置,1,1,58,16691,16750
Endo GIA Ultra腔镜切割吻合器,外科吻合器,外科手术器械,1,15,967,15577,16561
Perclose ProGlide 6F缝线介导闭合系统,血管缝合器,血管介入器械,2,41,16258,224,16523
Perclose ProStyle缝线介导闭合修复系统,血管缝合器,血管介入器械,1,8,16234,175,16417
美敦力MMT-1880L MM770G胰岛素泵（蓝牙）,胰岛素泵/输注系统,胰岛素给药装置,1,37,2411,13326,15774
Respironics持续呼吸机（最小通气支持，医用级）,有创/无创呼吸机,呼吸支持设备,1,35,135,15597,15767
Flogard输液泵,输液泵/注射泵,输液管理设备,1,0,4,15591,15612
曼托光面圆形中突盐水充注式乳房假体,乳房植入体,整形外科植入物,1,0,15439,140,15579
诺贝尔替换种植体 CC NP 3.5x11.5mm,牙科种植体,口腔植入物,1,0,15319,184,15503
卡普苏瑞菲克斯诺维斯起搏电极,心脏起搏电极导线,心脏节律管理设备,1,2571,7433,5496,15500
诺贝尔替换种植体 CC RP 5.0x10mm,牙科种植体,口腔植入物,1,0,15240,124,15364
利伯缇选择循环仪组件（非阀控）,腹膜透析设备,透析治疗系统,1,515,2979,11551,15045
雅培瞬感14天动态葡萄糖监测系统,动态血糖监测系统,血糖监测设备,1,10,12687,2222,14919
可植入式胶原蛋白透镜（ICL）,有晶体眼人工晶体,眼科植入物,1,0,12282,2596,14878
输液泵,输液泵,输液管理设备,15,27,141,14507,14705
诺贝尔替换种植体 CC RP 4.3x8mm,牙科种植体,口腔植入物,1,0,14563,115,14678
BLT 4.8mm RC SLA 8mm TIZR LOXIM 种植体,牙科种植体,口腔植入物,1,0,14619,0,14619
BL 4.1mm RC SLA 10mm TIZR NTP 种植体,牙科种植体,口腔植入物,1,0,14580,0,14580
SelectSecure MRI SureScan 药物洗脱右室起搏电极,药物洗脱起搏电极,心脏节律管理设备,1,217,7765,6594,14576
Quadra Assura MP 植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,2,308,3767,10491,14567
Tandem Mobi 胰岛素泵（带Control-IQ+技术）,胰岛素输注泵,胰岛素给药装置,1,0,2476,12079,14555
R系列除颤起搏器,除颤器/起搏器,心脏急救设备,1,119,73,14244,14437
Style 410 高聚硅凝胶乳房植入体,乳房植入体,整形外科植入物,1,8,14382,16,14406
Infusor 弹性输液泵,弹性输液泵,输液泵,1,0,67,14274,14343
EVIS EXERA III 结肠电子内窥镜,电子结肠镜,内窥镜,1,5,271,14052,14328
DreamStation Auto BiPAP 呼吸机,双水平呼吸机,呼吸支持设备,1,267,2703,11353,14323
手动轮椅,手动轮椅,移动辅助设备,9,4,83,12425,14245
Omnipod 5 自动胰岛素输注系统,胰岛素输注系统,胰岛素给药装置,2,0,730,13354,14084
Tendril STS 起搏电极,心脏起搏电极导线,心脏节律管理设备,1,230,7322,6459,14011
HeartStart MRx EMS 除颤仪,除颤器,心脏急救设备,1,81,90,13746,13918
Azure XT DR MRI SureScan 植入式脉冲发生器,植入式心脏起搏器,心脏节律管理设备,1,287,6904,6723,13914
瑞思迈自动调压呼吸机,无创呼吸机,呼吸支持设备,1,187,2602,10985,13774
北极太阳5000体温管理装置,体温调节设备,生命体征监测与支持设备,1,2,594,13164,13760
阿鲁拉Xper FD介入X射线系统,介入X射线成像系统,医学影像设备,1,5,49,13699,13753
诺贝尔替换CC RP 4.3x11.5mm牙种植体,牙种植体,口腔植入物,1,0,13520,187,13707
诺贝尔替换CC PMC NP 3.5x10mm牙种植体,牙种植体,口腔植入物,1,1,13611,73,13685
泰利根植入式心律转复除颤器,植入式心律转复除颤器,心脏植入式电子设备,1,93,8057,5430,13582
诺贝尔平行CC NP 3.75x13mm牙种植体,牙种植体,口腔植入物,1,0,13330,177,13507
OT Verio Flex血糖监测仪,血糖监测系统,体外诊断设备,1,0,744,12742,13500
EndoWrist有孔双极镊,双极电凝器械,手术器械,1,0,322,13139,13461
SP 4.1mm RN SLA 8mm TIZR NTP牙种植体,牙种植体,口腔植入物,1,0,13353,0,13353
卡姆洛螺钉线种植体Promote Plus,牙种植体,口腔植入物,1,0,13343,0,13343
梦之站CPAP呼吸机,无创呼吸机,呼吸支持设备,1,344,4948,8029,13321
Sprint Quattro Secure S MRI SureScan植入式除颤电极,植入式除颤电极,心脏植入式电子设备,1,221,8729,4352,13302
植入式骶神经刺激器,植入式神经刺激器,神经调控系统,2,0,6244,6985,13229
雅培瞬感14天传感器,动态血糖监测系统,体外诊断设备,1,0,48,13149,13197
Riata主动固定除颤电极,植入式除颤电极,心脏植入式电子设备,1,246,6730,6190,13177
HeartStart MRX除颤仪,体外除颤器,急救与生命支持设备,1,59,93,12975,13134
Replace Select锥形TIU RP 4.3x10mm牙种植体,牙种植体,口腔植入物,1,0,13052,70,13122
Colleague Pre P1.7输液泵,输液泵,输液管理设备,1,1,2,13062,13073
3ml储液器,输液泵配件,输液管理设备,1,9,2601,10420,13036
Colleague容积式输液泵,输液泵,输液管理设备,1,16,54,12915,13032
可充电16通道脊髓刺激植入式脉冲发生器,脊髓刺激系统,神经调控装置,1,31,12703,280,13017
植入式胶原蛋白人工晶体,有晶体眼人工晶体,眼科植入物,1,2,10156,2821,12979
诺贝尔平行CC钛超种植体RP 4.3x10mm,骨内牙种植体,牙科植入物,1,0,12810,154,12964
诺贝尔平行CC种植体RP 4.3x13mm,骨内牙种植体,牙科植入物,1,0,12796,127,12923
帕拉迪姆实时Revel胰岛素输注泵MMT-723LNAS,胰岛素输注泵,胰岛素给药装置,1,102,4433,8378,12913
诺贝尔平行CC种植体NP 3.75x8.5mm,骨内牙种植体,牙科植入物,1,0,12821,85,12906
诺贝尔替换CC PMC种植体RP 5.0x8mm,骨内牙种植体,牙科植入物,1,0,12848,51,12899
胶囊固定Novus MRI安全扫描起搏电极,永久起搏电极,心脏节律管理装置,1,168,5475,7225,12868
自由式Libre 3传感器,连续血糖监测系统,血糖监测装置,1,0,96,12735,12831
X系列除颤/起搏器,体外除颤/起搏器,心脏急救装置,1,356,17,12422,12798
未知品牌乳房植入体（盐水充注式）,乳房植入体,整形外科植入物,1,29,12654,50,12733
630G胰岛素泵MMT-1715KL,胰岛素输注泵,胰岛素给药装置,1,88,2290,10152,12530
SP 4.1mm RN SLActive 10mm种植体,骨内牙种植体,牙科植入物,1,0,12483,0,12483
八电极经皮导线套件60cm,经皮导线,神经调控装置,1,11,12414,26,12451
智能手机iOS应用：泵连接,胰岛素泵辅助显示,胰岛素给药装置,1,0,16,12404,12420
Sprint Quattro Secure S植入式心脏复律除颤器,植入式心脏复律除颤器,心脏节律管理装置,1,270,7662,4458,12390
Fineline II植入式导线,植入式心脏导线,心脏节律管理装置,1,160,9909,2275,12344
诺贝尔替换锥形沟槽种植体RP 4.3x10mm,骨内牙种植体,牙科植入物,1,0,12261,49,12310
T:slim X2胰岛素泵,胰岛素输注泵,胰岛素给药装置,1,2,773,11490,12265
诺贝尔主动内部种植体NP 3.5x8.5mm,骨内牙种植体,牙科植入物,1,0,12145,109,12254
诺贝尔主动钛超种植体 4.3x10mm,牙科种植体,口腔植入物,1,0,12055,169,12224
飞利浦持续气道正压通气设备,无创呼吸机,呼吸支持设备,1,668,7370,4072,12110
诺贝尔替换CC PMC种植体 5.0x10mm,牙科种植体,口腔植入物,1,0,12033,60,12093
Access 血管内输注管路,血管内输液管路,输液管理设备,1,3,147,11872,12037
Perclose ProStyle 血管止血装置,血管闭合器,血管介入器械,1,10,11593,412,12015
美敦力 630G 胰岛素泵 MMT-1714K（加拿大版）,胰岛素泵（阈值暂停型）,人工胰腺系统,1,27,1313,10653,11993
骨水平种植体 4.1mm RC SLActive 10mm,牙科种植体,口腔植入物,1,0,11961,0,11961
IMPAX CV 影像归档与通信系统（结果管理2.08）,医学影像存档与通信系统,医疗信息系统,1,0,0,11864,11865
Assurity MRI 植入式起搏脉冲发生器,植入式心脏起搏器,心脏节律管理设备,1,217,8398,3248,11863
骨水平锥形种植体 4.8mm RC SLA 10mm 钛,牙科种植体,口腔植入物,1,0,11832,0,11832
骨水平锥形种植体 4.8mm RC SLA 8mm 钛,牙科种植体,口腔植入物,1,0,11798,0,11798
HeartWare 心室辅助系统 - 泵,心室辅助装置,循环支持设备,2,1436,9494,791,11721
Precision Xtra 血糖监测系统,血糖监测系统,糖尿病管理设备,1,8,842,10819,11669
美敦力 530G 胰岛素泵 MMT-751NAS,胰岛素泵（阈值暂停型）,人工胰腺系统,1,65,2955,8628,11648
美敦力 670G 胰岛素泵 MMT-1781K V4.11,胰岛素泵（混合闭环型）,人工胰腺系统,1,2,1272,10258,11532
未知品牌盐水乳房假体,乳房植入体,整形外科植入物,2,2,11483,15,11500
ANK C/X 根形骨内种植体 A9.5/D3.5/L9.5,牙科种植体,口腔植入物,1,0,11466,1,11467
FreeStyle Lite 血糖监测系统,血糖监测系统,糖尿病管理设备,1,2,1214,10236,11452
骨水平锥形种植体 4.1mm RC SLA 8mm 钛,牙科种植体,口腔植入物,1,0,11308,0,11308
骨内牙种植体（根形）,牙种植体,口腔植入物,16,0,11280,1,11281
640G胰岛素泵,胰岛素输注泵,胰岛素给药装置,3,5,151,11039,11195
INFUSE 骨移植物（重组人骨形态发生蛋白/胶原支架）,骨移植替代材料,骨科生物材料,1,30,11154,3,11188
X射线透视系统,X射线成像设备,医学影像设备,5,0,2,11181,11187
频谱输液泵,输液泵/输注泵,输液与输注设备,1,7,68,11109,11184
瑞思迈Pro C-Flex+无创呼吸机,无创呼吸机,呼吸支持设备,1,172,1967,9033,11172
持续正压呼吸机,无创呼吸机,呼吸支持设备,1,172,1967,9033,11172
T:FLEX胰岛素输注系统,胰岛素输注泵,胰岛素给药装置,1,14,2260,8878,11152
美敦力640G胰岛素泵（MMT-1711KL）,胰岛素输注泵,胰岛素给药装置,1,3,144,10920,11067
美敦力GST3C发射器（人工胰腺系统组件）,人工胰腺系统组件,胰岛素给药装置,1,0,12,11050,11062
ANK C/X根形骨内种植体,牙科种植体,口腔植入物,1,0,11055,4,11059
奥林巴斯EVIS EXERA III胃肠镜,电子内窥镜,内窥镜系统,1,20,214,10811,11045
诺保科Active内连接种植体RP 5.0x8.5mm,牙科种植体,口腔植入物,1,0,10920,99,11019
Quartet永久起搏电极,心脏起搏电极,心脏节律管理设备,1,675,6116,4191,10984
诺保科Replace CC种植体RP 5.0x8mm,牙科种植体,口腔植入物,1,0,10832,80,10912
Tandem Mobi胰岛素泵（带Control-IQ技术）,胰岛素输注泵,胰岛素给药装置,1,2,1660,9131,10793
骨内牙种植体,牙种植体,口腔科植入物,50,0,10743,37,10780
诺保科Replace CC PMC种植体NP 3.5x11.5mm,牙科种植体,口腔植入物,1,0,10595,83,10678
稳豪Ultra血糖监测系统,血糖监测系统,体外诊断设备,1,3,817,9686,10609
雅培Optium Neo血糖监测系统,血糖监测系统,体外诊断设备,1,0,10,10583,10593
雅培Freestyle Freedom Lite血糖监测系统,血糖监测系统,体外诊断设备,1,2,1001,9523,10526
美敦力O-arm O2术中影像系统,术中影像系统,医学影像设备,1,5,103,10402,10511
除颤监护仪,除颤器,心脏急救设备,3,125,74,10197,10403
雅培Freestyle Precision Neo血糖监测系统,血糖监测系统,体外诊断设备,1,0,316,10053,10369
德康G4 Platinum持续葡萄糖监测系统（含Share系统）,持续葡萄糖监测系统,体外诊断设备,1,12,185,10161,10358
美敦力Paradigm胰岛素输注泵,胰岛素输注泵,胰岛素给药装置,1,60,1016,9254,10341
骨内牙科种植体,牙科种植体系统,口腔种植器械,5,2,10128,82,10227
